id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
722,2018-04-02,Todos os Santos,1,0,0,0,23.5,100000
738,2018-04-02,Centro,1,1,0,0,40,130000
848,2018-04-02,Centro,1,0,0,0,62.11,280000
850,2018-04-02,Melo,1,1,0,1,0,290000
851,2018-04-02,Melo,1,1,0,1,0,290000
723,2018-04-02,Belvedere,2,1,0,1,48.68,0
724,2018-04-02,Monte Alegre,2,1,0,1,46.38,0
728,2018-04-02,Planalto,2,1,0,1,48,0
730,2018-04-02,Planalto,2,1,0,1,48,0
731,2018-04-02,Todos os Santos,2,3,0,0,0,0
733,2018-04-02,Planalto,2,1,0,1,0,95000
734,2018-04-02,Belvedere,2,1,0,1,0,98000
735,2018-04-02,Belvedere,2,1,0,0,43.03,120000
736,2018-04-02,Belvedere,2,1,0,1,0,120000
737,2018-04-02,Jardim Panorama,2,1,0,0,0,125000
739,2018-04-02,Morrinhos,2,1,0,0,82.05,130000
740,2018-04-02,Belvedere,2,1,0,1,0,130000
742,2018-04-02,Santa Laura,2,2,0,2,0,135000
743,2018-04-02,Santa Laura,2,2,0,2,0,135000
744,2018-04-02,São Mateus,2,1,0,1,0,140000
745,2018-04-02,Santa Laura,2,2,0,2,0,140000
746,2018-04-02,Santa Laura,2,2,0,2,0,140000
747,2018-04-02,Cintra,2,1,0,1,74.8,140000
748,2018-04-02,São Judas Tadeu,2,1,0,2,43.73,147000
749,2018-04-02,São Judas Tadeu,2,1,0,2,43.73,147000
750,2018-04-02,São Judas Tadeu,2,1,0,2,43.73,147000
751,2018-04-02,São Judas Tadeu,2,1,0,2,43.73,147000
753,2018-04-02,Jardim Panorama,2,1,0,1,54.83,150000
754,2018-04-02,Monte Alegre,2,1,0,0,46.38,155000
756,2018-04-02,Jardim Liberdade,2,2,0,1,65.01,0
757,2018-04-02,Jardim Liberdade,2,2,0,1,65.01,164000
758,2018-04-02,Jardim Liberdade,2,2,0,1,65.37,164800
759,2018-04-02,Maracanã,2,1,0,0,83.71,165000
760,2018-04-02,Maracanã,2,1,0,0,83.71,165000
761,2018-04-02,Jardim Liberdade,2,2,0,1,65.01,166000
762,2018-04-02,Jardim Liberdade,2,2,0,1,65.37,166800
765,2018-04-02,Jardim Liberdade,2,2,0,1,66.94,0
766,2018-04-02,Jardim Liberdade,2,2,0,1,65.37,0
767,2018-04-02,Jardim Liberdade,2,2,0,1,66.94,168700
768,2018-04-02,Jardim Liberdade,2,2,0,1,66.45,169500
769,2018-04-02,Jardim Liberdade,2,2,0,1,66.94,170700
770,2018-04-02,Jardim Liberdade,2,1,0,1,68.04,171500
771,2018-04-02,Jardim Liberdade,2,1,0,1,68.04,0
772,2018-04-02,Jardim Liberdade,2,1,0,1,68.04,173500
773,2018-04-02,Jardim Liberdade,2,2,0,1,69.87,176100
774,2018-04-02,Jardim Liberdade,2,2,0,1,69.87,0
775,2018-04-02,Jardim Liberdade,2,2,0,1,69.87,178100
778,2018-04-02,São José,2,1,0,1,57.72,180000
782,2018-04-02,Ibituruna,2,1,0,0,0,193000
783,2018-04-02,Ibituruna,2,1,0,0,0,193000
786,2018-04-02,São Mateus,2,2,0,0,0,195000
787,2018-04-02,Ibituruna,2,1,0,1,0,195000
789,2018-04-02,Ibituruna,2,1,0,1,0,198000
792,2018-04-02,Jardim Panorama,2,1,0,1,75.53,200000
793,2018-04-02,Ibituruna,2,1,0,0,0,202000
794,2018-04-02,Jardim Panorama,2,2,0,0,0,210000
795,2018-04-02,Jardim Panorama,2,2,0,0,0,210000
796,2018-04-02,Jardim Panorama,2,2,0,0,0,210000
797,2018-04-02,Prolongamento Todos os Santos,2,1,0,1,69.75,215000
800,2018-04-02,Ibituruna,2,2,0,1,67.76,220000
801,2018-04-02,Major Prates,2,2,0,1,57.53,220000
802,2018-04-02,Ibituruna,2,2,0,1,67.76,220000
803,2018-04-02,Augusta Mota,2,1,0,1,65,220000
804,2018-04-02,Morada do Sol,2,1,0,1,58.26,220000
807,2018-04-02,Ibituruna,2,2,0,0,63.85,223100
808,2018-04-02,Centro,2,2,0,1,60.65,230000
810,2018-04-02,Centro,2,2,0,1,64.4,230000
811,2018-04-02,Centro,2,1,0,1,64.4,235000
812,2018-04-02,Centro,2,2,0,0,89.74,235000
815,2018-04-02,Centro,2,2,0,1,0,240000
816,2018-04-02,Ibituruna,2,2,0,2,63.85,240000
817,2018-04-02,São José,2,1,0,1,55,240000
820,2018-04-02,Ibituruna,2,2,0,1,58.1,240000
821,2018-04-02,São José,2,1,0,1,55,240000
825,2018-04-02,Funcionários,2,2,0,1,0,250000
