id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
964,2018-04-18,Cândida Câmara,3,3,0,2,0,0
965,2018-04-18,Belvedere,2,1,0,1,48.68,0
966,2018-04-18,Ibituruna,3,0,0,0,0,0
967,2018-04-18,Todos os Santos,1,0,0,0,23.5,0
968,2018-04-18,Monte Alegre,2,1,0,1,46.38,0
969,2018-04-18,Todos os Santos,3,3,0,0,0,0
970,2018-04-18,Jardim Liberdade,3,2,0,1,85.54,0
971,2018-04-18,Planalto,2,1,0,1,48,0
972,2018-04-18,Planalto,2,1,0,1,48,0
973,2018-04-18,Todos os Santos,3,2,0,0,0,0
974,2018-04-18,Todos os Santos,2,3,0,0,0,0
975,2018-04-18,Todos os Santos,3,2,0,0,0,0
976,2018-04-18,Planalto,2,1,0,1,0,95000
977,2018-04-18,Belvedere,2,1,0,1,0,98000
978,2018-04-18,Belvedere,2,1,0,0,43.03,120000
979,2018-04-18,Belvedere,2,1,0,1,0,120000
980,2018-04-18,Jardim Panorama,2,1,0,0,0,125000
981,2018-04-18,Centro,1,1,0,0,0,130000
982,2018-04-18,Morrinhos,2,1,0,0,82.05,130000
983,2018-04-18,Belvedere,2,1,0,1,0,130000
984,2018-04-18,Santa Laura,2,2,0,2,0,135000
985,2018-04-18,Santa Laura,2,2,0,2,0,135000
986,2018-04-18,Alice Maia,3,1,0,1,66.1,135000
987,2018-04-18,Santa Laura,2,2,0,2,0,140000
988,2018-04-18,Santa Laura,2,2,0,2,0,140000
989,2018-04-18,São Mateus,2,1,0,1,0,140000
990,2018-04-18,Cintra,2,1,0,1,74.8,140000
991,2018-04-18,São Judas Tadeu,2,1,0,2,43.73,147000
992,2018-04-18,São Judas Tadeu,2,1,0,2,43.73,147000
993,2018-04-18,São Judas Tadeu,2,1,0,2,43.73,147000
994,2018-04-18,São Judas Tadeu,2,1,0,2,43.73,147000
995,2018-04-18,Jardim Panorama,2,1,0,1,54.83,150000
996,2018-04-18,Vila Guilhermina,3,2,0,0,0,150000
997,2018-04-18,Monte Alegre,2,1,0,0,46.38,155000
998,2018-04-18,Edgar Pereira,3,1,0,1,71.59,160000
999,2018-04-18,Jardim Liberdade,2,2,0,1,65.01,164000
1000,2018-04-18,Jardim Liberdade,2,2,0,1,65.01,0
1001,2018-04-18,Jardim Liberdade,2,2,0,1,65.37,164800
1002,2018-04-18,Maracanã,2,1,0,0,83.71,165000
1003,2018-04-18,Maracanã,2,1,0,0,83.71,165000
1004,2018-04-18,Jardim Liberdade,2,2,0,1,65.01,166000
1005,2018-04-18,Jardim Liberdade,2,2,0,1,65.37,166800
1006,2018-04-18,Jardim Liberdade,3,2,0,1,66.45,0
1007,2018-04-18,Jardim Liberdade,3,2,0,1,66.45,167500
1008,2018-04-18,Jardim Liberdade,2,2,0,1,66.94,0
1009,2018-04-18,Jardim Liberdade,2,2,0,1,65.37,0
1010,2018-04-18,Jardim Liberdade,2,2,0,1,66.94,168700
1011,2018-04-18,Jardim Liberdade,2,2,0,1,66.45,169500
1012,2018-04-18,Jardim Liberdade,2,2,0,1,66.94,170700
1013,2018-04-18,Jardim Liberdade,2,1,0,1,68.04,171500
1014,2018-04-18,Jardim Liberdade,2,1,0,1,68.04,0
1015,2018-04-18,Jardim Liberdade,2,1,0,1,68.04,173500
1016,2018-04-18,Jardim Liberdade,2,2,0,1,69.87,176100
1017,2018-04-18,Jardim Liberdade,2,2,0,1,69.87,0
1018,2018-04-18,Jardim Liberdade,2,2,0,1,69.87,178100
1019,2018-04-18,Morada do Parque,3,2,0,1,72.96,180000
1020,2018-04-18,Morada do Parque,3,2,0,2,0,180000
1021,2018-04-18,São José,2,1,0,1,57.72,180000
1022,2018-04-18,Planalto,3,2,0,1,0,180000
1023,2018-04-18,Morada do Parque,3,2,0,1,80,180000
1024,2018-04-18,Morada do Parque,3,2,0,1,0,190000
1025,2018-04-18,Ibituruna,2,1,0,0,0,193000
1026,2018-04-18,Ibituruna,2,1,0,0,0,193000
1027,2018-04-18,São Mateus,2,2,0,0,0,195000
1028,2018-04-18,Ibituruna,2,1,0,1,0,195000
1029,2018-04-18,Maracanã,3,1,0,1,113.37,195000
1030,2018-04-18,Maracanã,3,1,0,1,113.37,195000
1031,2018-04-18,Jardim Liberdade,3,2,0,0,78.59,0
1032,2018-04-18,Ibituruna,2,1,0,1,0,198000
1033,2018-04-18,Jardim Liberdade,3,2,0,1,78.59,198100
1034,2018-04-18,Jardim Panorama,2,1,0,1,75.53,200000
1035,2018-04-18,Todos os Santos,3,2,0,1,0,200000
1036,2018-04-18,Ibituruna,2,1,0,0,0,202000
1037,2018-04-18,Jardim Panorama,2,2,0,0,0,210000
1038,2018-04-18,Jardim Panorama,2,2,0,0,0,210000
1039,2018-04-18,Jardim Panorama,2,2,0,0,0,210000
1040,2018-04-18,Prolongamento Todos os Santos,2,1,0,1,69.75,215000
1041,2018-04-18,Jardim Liberdade,3,2,0,1,85.54,216000
1042,2018-04-18,Augusta Mota,2,1,0,1,65,220000
1043,2018-04-18,Morada do Sol,2,1,0,1,58.26,220000
1044,2018-04-18,Cândida Câmara,3,2,0,1,77.35,220000
1045,2018-04-18,Major Prates,2,2,0,1,57.53,220000
1046,2018-04-18,Ibituruna,2,2,0,1,67.76,220000
1047,2018-04-18,Morada do Parque,3,2,0,1,0,220000
1048,2018-04-18,Ibituruna,2,2,0,1,67.76,220000
1049,2018-04-18,Augusta Mota,3,2,0,1,115,220000
1050,2018-04-18,Ibituruna,2,2,0,0,63.85,223100
1051,2018-04-18,Centro,2,2,0,1,64.4,230000
1052,2018-04-18,Centro,2,2,0,1,60.65,230000
1053,2018-04-18,Edgar Pereira,3,2,0,1,0,230000
1054,2018-04-18,Centro,2,1,0,1,64.4,235000
1055,2018-04-18,Centro,2,2,0,0,89.74,235000
1056,2018-04-18,São José,2,1,0,1,55,240000
1057,2018-04-18,Ibituruna,3,2,0,1,72.92,240000
1058,2018-04-18,Ibituruna,3,2,0,1,72.92,240000
1059,2018-04-18,Ibituruna,2,2,0,2,63.85,240000
1060,2018-04-18,Ibituruna,3,2,0,1,72.92,240000
1061,2018-04-18,Centro,2,2,0,1,0,240000
1062,2018-04-18,Ibituruna,3,2,0,1,72.92,240000
1063,2018-04-18,Ibituruna,2,2,0,1,58.1,240000
1064,2018-04-18,São José,2,1,0,1,55,240000
1065,2018-04-18,Ibituruna,3,2,0,1,75.46,245000
1066,2018-04-18,Ibituruna,3,2,0,1,75.46,245000
1067,2018-04-18,Centro,3,1,0,1,0,248000
1068,2018-04-18,Centro,3,1,0,0,106.44,250000
1069,2018-04-18,São José,3,2,0,1,123.01,250000
1070,2018-04-18,Morada do Sol,2,0,0,1,50,250000
1071,2018-04-18,Funcionários,2,2,0,1,0,250000
1072,2018-04-18,Vila Guilhermina,3,2,0,1,0,250000
1073,2018-04-18,Centro,3,1,0,0,99.75,250000
1074,2018-04-18,Jaraguá I,4,3,0,4,0,250269
1075,2018-04-18,Ibituruna,2,2,0,0,63.4,253375
1076,2018-04-18,Cidade Nova,3,1,0,2,96,255000
1077,2018-04-18,São Mateus,2,2,0,2,0,260000
1078,2018-04-18,Centro,2,1,0,1,0,260000
1079,2018-04-18,Cidade Nova,3,2,0,1,0,260000
1080,2018-04-18,Ibituruna,2,2,0,2,0,270000
1081,2018-04-18,Morada do Sol,2,2,0,2,0,270000
1082,2018-04-18,Augusta Mota,3,2,0,2,92.16,270000
1083,2018-04-18,Ibituruna,3,2,0,2,77,275000
1084,2018-04-18,Ibituruna,2,1,0,2,81,275000
1085,2018-04-18,Centro,2,1,0,0,55.49,279000
1086,2018-04-18,Ibituruna,3,2,0,2,100.86,280000
1087,2018-04-18,Ibituruna,2,2,0,2,0,280000
1088,2018-04-18,Vila Guilhermina,3,1,0,2,130.33,280000
1089,2018-04-18,São José,4,2,0,2,84,280000
1090,2018-04-18,Morada do Sol,3,0,0,2,93,280000
1091,2018-04-18,Morada do Sol,3,3,0,1,0,280000
1092,2018-04-18,Centro,1,0,0,0,62.11,280000
1093,2018-04-18,Edgar Pereira,2,2,0,1,113.79,280000
