id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
1,2018-02-18,Morada do Sol ,3,0,1,2,0,350000
2,2018-02-18,Todos os Santos ,4,0,1,2,0,700000
3,2018-02-18,Prolongamento Todos os Santos ,3,0,1,2,0,215000
4,2018-02-18,Morada do Sol ,2,0,1,0,0,250000
5,2018-02-18,Funcionários ,3,0,1,2,0,330000
6,2018-02-18,Edgar Pereira ,2,0,0,1,0,149000
7,2018-02-18,Centro ,3,0,1,1,0,390000
8,2018-02-18,Centro ,3,0,1,1,0,280000
9,2018-02-18,Ibituruna ,3,0,1,0,0,550000
10,2018-02-18,Morada do Sol ,3,0,1,2,0,595000
11,2018-02-18,Morada do Sol ,3,0,1,2,0,350000
12,2018-02-18,Ibituruna ,3,0,1,2,0,450000
13,2018-02-18,Morada da Serra ,3,0,1,1,0,180000
14,2018-02-18,Ibituruna ,3,0,1,2,0,320000
15,2018-02-18,Ibituruna ,3,0,1,2,0,355000
16,2018-02-18,Ibituruna ,3,0,1,2,0,360000
17,2018-02-18,Canelas I ,2,0,1,1,0,170000
18,2018-02-18,Canelas I ,2,0,1,1,0,170000
19,2018-02-18,Canelas I ,2,0,1,1,0,170000
20,2018-02-18,Canelas I ,2,0,1,1,0,170000
21,2018-02-18,Canelas I ,2,0,1,1,0,170000
22,2018-02-18,Canelas I ,2,0,1,1,0,170000
23,2018-02-18,Canelas I ,2,0,1,1,0,170000
24,2018-02-18,Canelas I ,2,0,1,1,0,170000
25,2018-02-18,Canelas I ,2,0,1,1,0,170000
26,2018-02-18,Canelas I ,2,0,1,1,0,170000
27,2018-02-18,Canelas I ,2,0,1,1,0,170000
28,2018-02-18,Canelas I ,2,0,1,1,0,170000
29,2018-02-18,Cândida Câmara ,4,0,1,2,0,950000
30,2018-02-18,Funcionários ,2,0,0,1,0,250000
31,2018-02-18,Cidade Nova ,3,0,1,1,0,330000
32,2018-02-18,Morada do Sol ,3,0,1,1,0,295000
33,2018-02-18,Cândida Câmara ,4,0,2,5,0,600000
34,2018-02-18,Morada do Sol ,3,0,1,2,0,350000
35,2018-02-18,Planalto ,2,0,0,1,0,160000
36,2018-02-18,Belvedere ,2,0,0,1,0,115000
37,2018-02-18,Planalto ,2,0,0,1,0,144000
38,2018-02-18,Melo ,3,0,0,1,0,650000
39,2018-02-18,Jardim Panorama ,3,0,1,2,0,420000
40,2018-02-18,Centro ,3,0,1,1,0,450000
41,2018-02-18,Morada da Serra ,3,0,1,1,0,160000
42,2018-02-18,Centro ,3,0,1,2,0,350000
43,2018-02-18,Augusta Mota ,3,0,1,2,0,220000
44,2018-02-18,Ibituruna ,3,0,1,0,0,300000
45,2018-02-18,Melo ,3,0,1,2,0,600000
46,2018-02-18,Planalto ,2,0,0,1,0,160000
47,2018-02-18,Planalto ,2,0,0,1,0,160000
48,2018-02-18,Centro ,2,0,1,1,0,280000
49,2018-02-18,Centro ,1,0,0,0,0,125000
50,2018-02-18,Alice Maia ,3,0,0,1,0,120000
51,2018-02-18,Jardim Panorama ,2,0,1,1,0,210000
52,2018-02-18,Centro ,3,0,1,2,0,500000
53,2018-02-18,Morada do Sol ,3,0,2,2,0,630000
54,2018-02-18,Morada da Serra ,3,0,1,0,0,190000
55,2018-02-18,Ibituruna ,3,0,1,1,0,320000
56,2018-02-18,Canelas I ,3,0,1,2,0,270000
57,2018-02-18,São Mateus ,3,0,1,3,0,295000
58,2018-02-18,São Mateus ,3,0,1,4,0,340000
59,2018-02-18,Todos os Santos ,2,0,1,1,0,250000
60,2018-02-18,Morada do Sol ,3,0,1,2,0,470000
61,2018-02-18,Ibituruna ,3,0,1,0,0,470000
62,2018-02-18,Morada da Serra ,3,0,1,1,0,180000
63,2018-02-18,Cidade Santa Maria ,3,0,1,2,0,400000
64,2018-02-18,Cândida Câmara ,4,0,1,2,0,880000
65,2018-02-18,São José ,2,0,0,1,0,240000
66,2018-02-18,Cândida Câmara ,3,0,1,1,0,190000
67,2018-02-18,Jardim Panorama ,2,0,1,1,0,190000
68,2018-02-18,Jardim São Luiz ,4,0,2,3,0,"777862.91"
69,2018-02-18,Cândida Câmara ,3,0,1,1,0,400000
70,2018-02-18,Vila Guilhermina ,2,0,1,1,0,178000
71,2018-02-18,Morada do Sol ,2,0,0,0,0,240000
72,2018-02-18,Morada do Sol ,3,0,1,2,0,295000
73,2018-02-18,São José ,3,0,1,1,0,350000
74,2018-02-18,Centro ,2,0,0,0,0,155000
75,2018-02-18,Centro ,2,0,0,0,0,150000
76,2018-02-18,Planalto ,2,0,0,1,0,130000
77,2018-02-18,São Mateus ,3,0,1,3,0,295000
78,2018-02-18,São Mateus ,3,0,1,6,0,340000
