bairro,quantidade
Ibituruna,49
Jardim Liberdade,18
Centro,18
Belvedere,16
Canelas I,14
Morada Do Sol,13
Planalto,12
Jardim Panorama,11
Todos Os Santos,10
Cidade Santa Maria,8
Augusta Mota,7
Edgar Pereira,7
Sao Jose,6
Sao Judas Tadeu,5
Santa Laura,5
Maracana,4
Funcionarios,4
Canelas,4
Sao Mateus,3
Panorama II,3
Candida Camara,3
Vila Guilhermina,3
Melo,2
Monte Alegre,2
Conjunto Residencial Jk,1
Major Prates,1
Canelas II,1
Vila Mauriceia,1
Vila Brasilia,1
Alto Sao Joao,1
Cintra,1
Morada Da Serra,1
Cidade Nova,1
Prolongamento Todos Os Santos,1
Morrinhos,1
Jardim Sao Luiz,1
