Árvores/Profundidade, Média Validação Cruzada, Desvio-Padrão Validação Cruzada, Média Erro Absoluto, R², Variância Explicada
5 / 5 , 0.804782499849 , 0.107090496816 , 51561.2835371 , 0.658505401854 , 0.670257825454
5 / 10 , 0.83580330171 , 0.0829843647653 , 34714.229102 , 0.704673674531 , 0.714717374129
5 / 15 , 0.849114151389 , 0.0747489560117 , 36565.5320681 , 0.691759106869 , 0.70001845952
5 / 20 , 0.840503440996 , 0.0812908819247 , 34840.548086 , 0.69287733706 , 0.70432397834
5 / 25 , 0.84415545867 , 0.0797411416207 , 35548.3179847 , 0.705097963016 , 0.718464994456
5 / 30 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 35 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 40 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 45 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 50 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 55 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 60 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 65 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 70 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 75 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 80 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 85 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 90 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
5 / 95 , 0.842757896249 , 0.0769124964384 , 35549.4613022 , 0.704142914222 , 0.7145720912
10 / 5 , 0.808515671875 , 0.10935208613 , 47564.5323313 , 0.713227071216 , 0.727067644588
10 / 10 , 0.839254381149 , 0.0884627668792 , 33223.1976301 , 0.760708053629 , 0.769237013024
10 / 15 , 0.846732452722 , 0.0872265317026 , 33581.4363519 , 0.751747944819 , 0.757791422115
10 / 20 , 0.838073363506 , 0.0952317266923 , 32772.934178 , 0.749825921318 , 0.758294326847
10 / 25 , 0.84050643155 , 0.0931523522143 , 33817.6862578 , 0.752384882468 , 0.761400650527
10 / 30 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 35 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 40 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 45 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 50 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 55 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 60 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 65 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 70 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 75 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 80 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 85 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 90 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
10 / 95 , 0.840636793297 , 0.0913671379461 , 33771.5274122 , 0.752237026033 , 0.75979839802
15 / 5 , 0.817423405977 , 0.0947208182086 , 46055.1371662 , 0.70650015259 , 0.718771342404
15 / 10 , 0.850007254846 , 0.0767676672491 , 32568.222664 , 0.752321740649 , 0.761916383779
15 / 15 , 0.857536177912 , 0.0739483294322 , 32370.0857872 , 0.764732042999 , 0.771797441295
15 / 20 , 0.849582931374 , 0.0810957646238 , 31824.1359744 , 0.750744225397 , 0.758902613058
15 / 25 , 0.852300621043 , 0.0781020809361 , 32647.1288499 , 0.754145069115 , 0.762977729119
15 / 30 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 35 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 40 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 45 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 50 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 55 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 60 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 65 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 70 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 75 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 80 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 85 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 90 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
15 / 95 , 0.852448023931 , 0.0772738224074 , 32768.9778077 , 0.751366172664 , 0.759290891771
20 / 5 , 0.823999365949 , 0.0866809994271 , 45210.2053162 , 0.728391022885 , 0.739822190508
20 / 10 , 0.855543666009 , 0.0694343745155 , 32516.0612453 , 0.759839544868 , 0.769154258542
20 / 15 , 0.860591556041 , 0.0706269680004 , 31518.0878694 , 0.783273153228 , 0.790371968111
20 / 20 , 0.854518118976 , 0.0766410595217 , 30885.8346595 , 0.771425413593 , 0.77860943931
20 / 25 , 0.856026706023 , 0.0734056329413 , 31539.0701768 , 0.771062071297 , 0.77919040978
20 / 30 , 0.855953020833 , 0.073047131636 , 31651.8912566 , 0.769124480367 , 0.776457484433
20 / 35 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 40 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 45 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 50 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 55 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 60 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 65 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 70 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 75 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 80 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
