ID;FILE
1;Na era da informação e conhecimento, analisar dados não é uma atividade qualquer, para empresas e governos, é uma questão de sobrevivência. Num mundo globalizado e cada vez mais competitivo em que dados eletrônicos são produzidos de forma exponencial, quem for capaz de extrair informação e conhecimento de dados de forma eficiente, venderá mais, produzirá mais, gastará menos, terá clientes mais satisfeitos, fornecedores mais eficientes e estará em conformidade com agências reguladoras e fiscalizadoras. Não somos capazes ainda de avaliar com precisão como essa nova era que está surgindo será, mas sabendo que a produção e análise de dados terão um papel fundamental.
2;E como se extrai informação e conhecimento de dados? Implementando projetos de Big Data. Um projeto, segundo definição do PMBOK (2013) é um esforço temporário para produzir um produto ou serviço exclusivo. Um projeto de Big Data possui estas mesmas características: é um esforço com início e fim, portanto temporário, e produz algo até então inexistente, e, portanto, exclusivo. Embora o esforço seja temporário, o resultado produzido não é. Podemos sim, por exemplo, empreender um projeto de auditoria, que uma vez encerrado, seu resultado é entregue: encerra-se o projeto e o produto criado também chega ao fim. Mas de uma maneira geral, um projeto de Big Data gera um produto ou serviço que vai entrar em seu ciclo de vida útil, gerando resultados por tempo indeterminado. É o que acontece, por exemplo, quando se constrói um armazém de dados. A construção é um projeto, como escopo, custos e tempo definidos. Quando pronto, o projeto termina, mas o armazém continua sendo carregado com dados históricos e gerando informação e conhecimento relevantes para a tomada de decisão.
3;Tudo isso para dizer que, de uma maneira geral, um projeto de Big Data nada mais é do que um projeto qualquer, com início e fim, escopo, orçamento, cronograma entre outros. Então porque uma obra especifica para tratar destes projetos? Porque este tipo de projeto está entre os mais complexos e com maiores riscos de todas as indústrias. Anteriormente comentamos que, semelhante a produção de software, projetos de Big Data produzem algo abstrato, não tangível, de extrema complexidade no sentido de poder envolver muitas estruturas, sistemas, formatos, pessoas e infraestrutura.
4;Nesta obra vamos usar alguns termos que precisamos definir antes, de forma há não haver um entendimento ambíguo do seu significado:
5;Projeto de análise de dados ou de Big Data: Nesta obra vamos usar projetos de análise de dados ou de Big Data como uma definição genérica para qualquer tipo de projeto que envolva extrair informação e conhecimento de dados: analisar dados pode ser produzir um relatório, construir um data mart, analisar sentimentos em redes sociais, criar um modelo para uma análise preditiva, capturar dados de sensores para avaliar a saúde dos equipamentos na linha de produção, classificar pentabytes de documentos jurídicos  ou simplesmente rodar uma consulta para ordenar as vendas no mês. De uma maneira genérica, vamos nos referir a projetos de Big Data e Análise de Dados como B&A. Quando a referência ao longo da obra não for genérica, usaremos um termo mais especifico, como por exemplo analise preditivas.
6;Dados de origem: analisar dados requer coletar dados de algum lugar. Vamos usar dados de origem para nos referirmos a dados ou conjuntos de dados que são utilizados para popular um modelo, ser carregado num processo de extração e transformação, ser ordenado em uma planilha eletrônica ou mesmo sobre o qual se executa uma consulta SQL.
7;Dados de Staging: Muitos processos de analises de dados possuem uma etapa intermediária, entre os dados de origem e o resultado dos dados já consolidados. Esta etapa intermediária serve para que os dados sejam transformados, somados, resumidos, juntados ou calculados. O termo staging na obra se refere a qualquer processo intermediário, não apenas aquele conhecido num processo de construção de um data warehouse tradicional.
8;Dados de destino: aqui estaremos sempre nos referindo ao resultado: o cubo, a previsão de uma análise preditiva, o relatório, o arquivo gerado, entre outros.
9;O PMBOK nos ensina que nem todos os seus processos são obrigatórios. Tampouco temos que aplicar os processos sempre com a mesma intensidade. Quais processos usar e em qual intensidade depende das decisões tomadas pelo gerente do projeto junto a sua equipe, e deve estar diretamente relacionada a fatores como: complexidade do projeto, elementos novos relacionados a pessoas, tecnologias ou dados de origem.
10;Se você está lendo esta obra provavelmente já ouviu e leu muito sobre Big Data, e não será nosso objetivo aqui apresentar este conceito. Porém, muitos entendimentos são ambíguos. Criou-se quase uma relação obrigatória entre Big Data e tecnologias de MapReduce como Hadoop. No mínimo, se associa o termo a grandes volumes de dados, pentabytes ou mais, ignorando-se todos os demais “Vs” (velocidade, volume, variedade, veracidade e valor). Nesta obra vamos ter uma definição mais abrangente para projetos de B&A (Big Data e Análise de Dados). Se o projeto envolve uma única fonte de dados relacional para produzir dimensões em um data mart, não podemos considerar Big Data, mas em outras hipóteses, em que existem muitas de fontes de dados, ou algumas poucas, mas com pelo menos uma não estrutura, ou mesmo dados semiestruturados ou fontes de dados NoSQL, ou até mesmo, claro, volumes de dados além de um projeto tradicional, então sim, todos estes serão considerados projetos de Big Data.
11;Falamos em seção anterior mas vamos repetir: cabe ao gerente de projeto decidir quais processos e com qual intensidade eles serão aplicados, conforme a complexidade do projeto. Da mesma forma, todas as recomendações e técnicas apresentadas nesta obra, especificas para a análise de dados, devem ser avaliadas pelo gerente e sua equipe se devem ser aplicadas e com qual intensidade. Por exemplo, vamos falar da criação de protótipos ao longo da obra. Um determinado projeto com baixa complexidade, do qual já se tenha experiência prévia, tecnologia madura e testada, talvez dispense tolamente um protótipo. Já um outro projeto de média complexidade que terá uma entrega artefatos de visualização, pode ter protótipos gerados em uma ferramenta de maquetes para simular telas. Finalmente, um grande projeto de longo prazo e grande complexidade, pode requerer que um protótipo funcional seja gerado para verificar a viabilidade e minimizar riscos.
12;Desde a pré-história o homem analisa dados. A análise de dados eletrônicos é um evento mais recente, com pouco mais de 70 anos. A capacidade de usar um computador para analisar dados vem mudando o mundo. Vamos pensar em um exemplo simples: auditar folha de pagamento. Tradicionalmente, a auditoria teria que ser manual, por amostragem, e mesmo assim poderia levar semanas. Com o computador, o processo passou a ser totalmente eletrônico, a prova de erros, milhões de vezes mais rápido e de forma contínua.
13;Mas a análise de dados só começou a tomar força na década de 90, foi quando os grandes armazéns de dados, ou data warehouse começaram a se tornar mais comuns para apoiar as empresas a tomarem decisões. De lá para cá, armazéns de dados se popularizaram, encontrados em praticamente qualquer grande empresa.
14;Mas o que diferencia um projeto de análise de dados tradicional, como os popularizados nos anos 90, de um projeto de Big Data? Primeiro, os “Vs” que falamos na seção anterior: de velocidade, volume, variedade, veracidade e valor. Veracidade e valor já eram características de projetos tradicionais de análise de dados. Vamos entender o que os outros três “Vs” representam em relação a projetos tradicionais:
15;Velocidade: a velocidade diz respeito não somente a da produção do dado em si, mas a velocidade do processamento e produção de informação e conhecimento, visto que o valor da informação é inversamente proporcional ao tempo em que ocorreu o evento que gerou o dado. Por exemplo, ocorreu uma falha em um equipamento. O operador recebe o alerta 5 segundos depois da falha: ele desliga o equipamento, identifica a falha, aperta o colar de suporte vibratório e a linha de produção volta a produzir em 10 minutos. Porém, imaginando outro cenário, se ele recebe o alerta em 10 segundos: a máquina tem que ser desmontada para troca do colar de suporte vibratório, e a linha de produção para por 2 horas. Mas se por algum problema ele só recebe o alerta em 30 segundos: o colar de suporte vibratório se rompe e causa um estrago em série na máquina. O equipamento deve ser substituído, seu custo de reparação será na casa dos 6 dígitos e a linha de produção tem que parar por 6 horas, causando um prejuízo de centenas de milhares de reais. O gráfico da Figura 1‑1 abaixo mostra a relação inversa entre tempo e valor da informação. Toda a informação chegará a um tempo em que seu valor é zero, isso pode ocorrer após alguns segundos ou até mesmo depois de centenas de anos. É preciso deixar claro que estamos falando de valor da informação, e não do dado: no exemplo acima, quando o dado é extraído do equipamento, ele ainda não tem valor. Só depois que é processado ele passa a ser informação e ter valor.
16;Volume: projetos tradicionais eram construídos em armazéns de dados contendo por volta de terabytes de dados. Projetos de Big Data são de petabytes ou mais.
17;Variedade: projetos tracionais carregavam dados estruturados de sistemas de operação tradicionais, em modelos relacionais, hierárquicos ou de rede. Projetos de Big Data processam estes tipos de dados, que na verdade ainda são a maioria, mas também incluem dados não estruturados e semiestruturados de redes sociais, sensores, web, documentos, e-mails etc.
