Num_Semestre_Ano;Cod_Instituicao;Cod_Cat_Administrativa;Cod_Curso;Cod_Tipo_Curso;Cod_Municipio;Cod_Turno;Ano_Inicio_Curso;Qtd_Vagas;Qtd_Inscritos;Qtd_Calouros;Qtd_Transf_Interna;Qtd_Transf_Externa;Qtd_Portador_Diploma;Qtd_Reingresso;Qtd_Outros_Ingressos;Qtd_Matriculados;Qtd_Concluintes;Qtd_Trancados;Qtd_Desistentes;Qtd_Mudou_Curso;Qtd_Mudou_Instituicao
200402;1805;4;6;1;310020;2;2004;50;81;50;;;;;;46;;;4;;
200501;1805;4;2;1;310020;2;2004;55;47;30;;4;;;;69;;2;9;;
200502;1805;4;2;1;310020;2;2004;;;;;1;;;;66;;2;2;;
200601;1805;4;2;1;310020;2;2004;50;25;19;;;;;;80;;2;3;;
200601;1805;4;96;1;310020;2;2006;50;35;24;1;;;;2;25;;;2;;
200602;1805;4;2;1;310020;2;2004;;;;;;;;;76;;1;2;;1
200602;1805;4;96;1;310020;2;2006;;;;;;;;;24;;;1;;
200701;1805;4;2;1;310020;2;2004;50;34;29;;;;;3;103;;2;3;;
200701;1805;4;96;1;310020;2;2006;50;24;18;2;;;;2;42;;;4;;
200701;1805;4;514;5;310020;2;2007;50;70;50;;;;;5;43;;;12;;
200702;1805;4;2;1;310020;2;2004;;;;;;;;;96;;4;3;;
200702;1805;4;96;1;310020;2;2006;;;;;1;;;;39;;2;2;;
200702;1805;4;514;5;310020;2;2007;;;;;;;;;37;;3;3;;
200801;1805;4;2;1;310020;2;2004;50;42;34;;;;;2;124;41;4;4;;
200801;1805;4;96;1;310020;2;2006;50;22;14;;;;;;50;;1;2;;
200801;1805;4;514;5;310020;2;2007;50;31;;;;;;;34;;1;2;;
200802;1805;4;2;1;310020;2;2004;;;;;;;;;83;17;;;;
200802;1805;4;96;1;310020;2;2006;;;;1;;4;;;53;;1;1;;
200802;1805;4;514;5;310020;2;2007;;;;;;;;;33;;;1;;
200301;1860;4;423;2;310020;2;2002;;;;;;;;;64;;3;9;;
200302;1860;4;423;2;310020;2;2002;100;;;;;;;;62;;2;;;
200401;1860;4;423;2;310020;2;2002;100;48;31;;;;;;88;;;4;;1
200402;1860;4;423;2;310020;2;2002;;;;;;;;;85;;1;2;;
200501;1860;4;423;2;310020;2;2002;55;35;25;;;;;;107;;3;;;
200502;1860;4;423;2;310020;2;2002;;;;;;;1;;107;;1;;;
200601;1860;4;423;2;310020;2;2002;50;13;;;;;2;;107;59;1;1;;
200602;1860;4;423;2;310020;2;2002;;;;;;;;;45;;2;1;;
200701;1860;4;423;2;310020;2;2002;;;;;;;;;45;;;;;
200702;1860;4;423;2;310020;2;2002;;;;;;;;;45;22;;;;
200801;1860;4;423;2;310020;2;2002;;;;;;;;;22;;;;;1
200802;1860;4;423;2;310020;2;2002;;;;;;;;;22;22;;;;
200201;1994;1;423;2;310020;2;2002;100;84;76;;;;;;;;;;;
200202;1994;1;423;2;310020;2;2002;;;;;;;;;76;;;7;;
200202;2098;4;423;2;310030;2;2002;100;136;100;;;;;;100;;;4;;
200301;2098;4;423;2;310030;2;2002;50;86;50;;1;;;;127;;1;23;;
200302;2098;4;423;2;310030;2;2002;;;;;;;;;109;;7;11;;
200401;2098;4;423;2;310030;2;2002;50;;;;;;;;109;;;;;
200402;2098;4;423;2;310030;2;2002;;;;;;;;;107;;;2;;
200501;2098;4;423;2;310030;2;2002;50;;;;;;;;107;56;;;;
200502;2098;4;423;2;310030;2;2002;;;;;;;;;51;26;;;;
200601;2098;4;2;1;310030;2;2006;50;64;37;;1;;;;38;;;;;
200601;2098;4;423;2;310030;2;2002;50;60;45;;;;;;61;;;7;2;
200602;2098;4;2;1;310030;2;2006;;;;;;;;;38;;;;;
200602;2098;4;423;2;310030;2;2002;;;;;;;;;59;;;;;
200701;2098;4;2;1;310030;2;2006;;;;;;;;;38;;;;;
200701;2098;4;423;2;310030;2;2002;;;;;;;;;59;22;;;;
200702;2098;4;2;1;310030;2;2006;;;;;;;;1;38;;;1;;
