Passageiro;Sobrevivente;Classe;Nome;Sexo;Idade;Irmãos;Pais;Tarifa
1;0;3;Braund, Mr. Owen Harris;masculino;22;1;0;7,25
2;1;1;Cumings, Mrs. John Bradley (Florence Briggs Thayer);feminino;38;1;0;712.833
3;1;3;Heikkinen, Miss. Laina;feminino;26;0;0;7.925
4;1;1;Futrelle, Mrs. Jacques Heath (Lily May Peel);feminino;35;1;0;53,1
5;0;3;Allen, Mr. William Henry;masculino;35;0;0;8,05
7;0;1;McCarthy, Mr. Timothy J;masculino;54;0;0;518.625
8;0;3;Palsson, Master. Gosta Leonard;masculino;2;3;1;21.075
9;1;3;Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg);feminino;27;0;2;111.333
10;1;2;Nasser, Mrs. Nicholas (Adele Achem);feminino;14;1;0;300.708
11;1;3;Sandstrom, Miss. Marguerite Rut;feminino;4;1;1;16,7
12;1;1;Bonnell, Miss. Elizabeth;feminino;58;0;0;26,55
13;0;3;Saundercock, Mr. William Henry;masculino;20;0;0;8,05
14;0;3;Andersson, Mr. Anders Johan;masculino;39;1;5;31.275
15;0;3;Vestrom, Miss. Hulda Amanda Adolfina;feminino;14;0;0;78.542
16;1;2;Hewlett, Mrs. (Mary D Kingcome) ;feminino;55;0;0;16
17;0;3;Rice, Master. Eugene;masculino;2;4;1;29.125
19;0;3;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);feminino;31;1;0;18
21;0;2;Fynney, Mr. Joseph J;masculino;35;0;0;26
22;1;2;Beesley, Mr. Lawrence;masculino;34;0;0;13
23;1;3;"McGowan, Miss. Anna ""Annie""";feminino;15;0;0;80.292
24;1;1;Sloper, Mr. William Thompson;masculino;28;0;0;35,5
25;0;3;Palsson, Miss. Torborg Danira;feminino;8;3;1;21.075
26;1;3;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);feminino;38;1;5;313.875
28;0;1;Fortune, Mr. Charles Alexander;masculino;19;3;2;263
31;0;1;Uruchurtu, Don. Manuel E;masculino;40;0;0;277.208
34;0;2;Wheadon, Mr. Edward H;masculino;66;0;0;10,5
35;0;1;Meyer, Mr. Edgar Joseph;masculino;28;1;0;821.708
36;0;1;Holverson, Mr. Alexander Oskar;masculino;42;1;0;52
38;0;3;Cann, Mr. Ernest Charles;masculino;21;0;0;8,05
39;0;3;Vander Planke, Miss. Augusta Maria;feminino;18;2;0;18
40;1;3;Nicola-Yarred, Miss. Jamila;feminino;14;1;0;112.417
41;0;3;Ahlin, Mrs. Johan (Johanna Persdotter Larsson);feminino;40;1;0;9.475
42;0;2;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);feminino;27;1;0;21
44;1;2;Laroche, Miss. Simonne Marie Anne Andree;feminino;3;1;2;415.792
45;1;3;Devaney, Miss. Margaret Delia;feminino;19;0;0;78.792
50;0;3;Arnold-Franchi, Mrs. Josef (Josefine Franchi);feminino;18;1;0;17,8
51;0;3;Panula, Master. Juha Niilo;masculino;7;4;1;396.875
52;0;3;Nosworthy, Mr. Richard Cater;masculino;21;0;0;7,8
53;1;1;Harper, Mrs. Henry Sleeper (Myna Haxtun);feminino;49;1;0;767.292
54;1;2;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);feminino;29;1;0;26
55;0;1;Ostby, Mr. Engelhart Cornelius;masculino;65;0;1;619.792
57;1;2;Rugg, Miss. Emily;feminino;21;0;0;10,5
58;0;3;Novel, Mr. Mansouer;masculino;28,5;0;0;72.292
59;1;2;West, Miss. Constance Mirium;feminino;5;1;2;27,75
60;0;3;Goodwin, Master. William Frederick;masculino;11;5;2;46,9
61;0;3;Sirayanian, Mr. Orsen;masculino;22;0;0;72.292
62;1;1;Icard, Miss. Amelie;feminino;38;0;0;80
63;0;1;Harris, Mr. Henry Birkhardt;masculino;45;1;0;83.475
64;0;3;Skoog, Master. Harald;masculino;4;3;2;27,9
67;1;2;Nye, Mrs. (Elizabeth Ramell);feminino;29;0;0;10,5
68;0;3;Crease, Mr. Ernest James;masculino;19;0;0;81.583
69;1;3;Andersson, Miss. Erna Alexandra;feminino;17;4;2;7.925
70;0;3;Kink, Mr. Vincenz;masculino;26;2;0;86.625
71;0;2;Jenkin, Mr. Stephen Curnow;masculino;32;0;0;10,5
72;0;3;Goodwin, Miss. Lillian Amy;feminino;16;5;2;46,9
73;0;2;Hood, Mr. Ambrose Jr;masculino;21;0;0;73,5
74;0;3;Chronopoulos, Mr. Apostolos;masculino;26;1;0;144.542
75;1;3;Bing, Mr. Lee;masculino;32;0;0;564.958
76;0;3;Moen, Mr. Sigurd Hansen;masculino;25;0;0;7,65
79;1;2;Caldwell, Master. Alden Gates;masculino;0,83;0;2;29
80;1;3;Dowdell, Miss. Elizabeth;feminino;30;0;0;12.475
81;0;3;Waelens, Mr. Achille;masculino;22;0;0;9
82;1;3;Sheerlinck, Mr. Jan Baptist;masculino;29;0;0;9,5
84;0;1;Carrau, Mr. Francisco M;masculino;28;0;0;47,1
85;1;2;Ilett, Miss. Bertha;feminino;17;0;0;10,5
86;1;3;Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);feminino;33;3;0;15,85
87;0;3;Ford, Mr. William Neal;masculino;16;1;3;34.375
89;1;1;Fortune, Miss. Mabel Helen;feminino;23;3;2;263
90;0;3;Celotti, Mr. Francesco;masculino;24;0;0;8,05
91;0;3;Christmann, Mr. Emil;masculino;29;0;0;8,05
92;0;3;Andreasson, Mr. Paul Edvin;masculino;20;0;0;78.542
93;0;1;Chaffee, Mr. Herbert Fuller;masculino;46;1;0;61.175
94;0;3;Dean, Mr. Bertram Frank;masculino;26;1;2;20.575
95;0;3;Coxon, Mr. Daniel;masculino;59;0;0;7,25
97;0;1;Goldschmidt, Mr. George B;masculino;71;0;0;346.542
98;1;1;Greenfield, Mr. William Bertram;masculino;23;0;1;633.583
99;1;2;Doling, Mrs. John T (Ada Julia Bone);feminino;34;0;1;23
100;0;2;Kantor, Mr. Sinai;masculino;34;1;0;26
101;0;3;Petranec, Miss. Matilda;feminino;28;0;0;78.958
103;0;1;White, Mr. Richard Frasar;masculino;21;0;1;772.875
104;0;3;Johansson, Mr. Gustaf Joel;masculino;33;0;0;86.542
105;0;3;Gustafsson, Mr. Anders Vilhelm;masculino;37;2;0;7.925
106;0;3;Mionoff, Mr. Stoytcho;masculino;28;0;0;78.958
107;1;3;Salkjelsvik, Miss. Anna Kristine;feminino;21;0;0;7,65
109;0;3;Rekic, Mr. Tido;masculino;38;0;0;78.958
111;0;1;Porter, Mr. Walter Chamberlain;masculino;47;0;0;52
112;0;3;Zabour, Miss. Hileni;feminino;14,5;1;0;144.542
113;0;3;Barton, Mr. David John;masculino;22;0;0;8,05
114;0;3;Jussila, Miss. Katriina;feminino;20;1;0;9.825
115;0;3;Attalah, Miss. Malake;feminino;17;0;0;144.583
116;0;3;Pekoniemi, Mr. Edvard;masculino;21;0;0;7.925
117;0;3;Connors, Mr. Patrick;masculino;70,5;0;0;7,75
118;0;2;Turpin, Mr. William John Robert;masculino;29;1;0;21
119;0;1;Baxter, Mr. Quigg Edmond;masculino;24;0;1;2.475.208
120;0;3;Andersson, Miss. Ellis Anna Maria;feminino;2;4;2;31.275
121;0;2;Hickman, Mr. Stanley George;masculino;21;2;0;73,5
123;0;2;Nasser, Mr. Nicholas;masculino;32,5;1;0;300.708
124;1;2;Webber, Miss. Susan;feminino;32,5;0;0;13
125;0;1;White, Mr. Percival Wayland;masculino;54;0;1;772.875
126;1;3;Nicola-Yarred, Master. Elias;masculino;12;1;0;112.417
128;1;3;Madsen, Mr. Fridtjof Arne;masculino;24;0;0;71.417
130;0;3;Ekstrom, Mr. Johan;masculino;45;0;0;6.975
131;0;3;Drazenoic, Mr. Jozef;masculino;33;0;0;78.958
132;0;3;Coelho, Mr. Domingos Fernandeo;masculino;20;0;0;7,05
133;0;3;Robins, Mrs. Alexander A (Grace Charity Laury);feminino;47;1;0;14,5
134;1;2;Weisz, Mrs. Leopold (Mathilde Francoise Pede);feminino;29;1;0;26
135;0;2;Sobey, Mr. Samuel James Hayden;masculino;25;0;0;13
136;0;2;Richard, Mr. Emile;masculino;23;0;0;150.458
137;1;1;Newsom, Miss. Helen Monypeny;feminino;19;0;2;262.833
138;0;1;Futrelle, Mr. Jacques Heath;masculino;37;1;0;53,1
139;0;3;Osen, Mr. Olaf Elon;masculino;16;0;0;92.167
140;0;1;Giglio, Mr. Victor;masculino;24;0;0;79,2
142;1;3;Nysten, Miss. Anna Sofia;feminino;22;0;0;7,75
143;1;3;Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck);feminino;24;1;0;15,85
144;0;3;Burke, Mr. Jeremiah;masculino;19;0;0;6,75
145;0;2;Andrew, Mr. Edgardo Samuel;masculino;18;0;0;11,5
146;0;2;Nicholls, Mr. Joseph Charles;masculino;19;1;1;36,75
147;1;3;"Andersson, Mr. August Edvard (""Wennerstrom"")";masculino;27;0;0;77.958
148;0;3;"Ford, Miss. Robina Maggie ""Ruby""";feminino;9;2;2;34.375
149;0;2;"Navratil, Mr. Michel (""Louis M Hoffman"")";masculino;36,5;0;2;26
150;0;2;Byles, Rev. Thomas Roussel Davids;masculino;42;0;0;13
151;0;2;Bateman, Rev. Robert James;masculino;51;0;0;12.525
152;1;1;Pears, Mrs. Thomas (Edith Wearne);feminino;22;1;0;66,6
153;0;3;Meo, Mr. Alfonzo;masculino;55,5;0;0;8,05
154;0;3;van Billiard, Mr. Austin Blyler;masculino;40,5;0;2;14,5
156;0;1;Williams, Mr. Charles Duane;masculino;51;0;1;613.792
157;1;3;"Gilnagh, Miss. Katherine ""Katie""";feminino;16;0;0;77.333
158;0;3;Corn, Mr. Harry;masculino;30;0;0;8,05
161;0;3;Cribb, Mr. John Hatfield;masculino;44;0;1;16,1
162;1;2;"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)";feminino;40;0;0;15,75
163;0;3;Bengtsson, Mr. John Viktor;masculino;26;0;0;7.775
164;0;3;Calic, Mr. Jovo;masculino;17;0;0;86.625
165;0;3;Panula, Master. Eino Viljami;masculino;1;4;1;396.875
166;1;3;"Goldsmith, Master. Frank John William ""Frankie""";masculino;9;0;2;20.525
168;0;3;Skoog, Mrs. William (Anna Bernhardina Karlsson);feminino;45;1;4;27,9
170;0;3;Ling, Mr. Lee;masculino;28;0;0;564.958
171;0;1;Van der hoef, Mr. Wyckoff;masculino;61;0;0;33,5
172;0;3;Rice, Master. Arthur;masculino;4;4;1;29.125
173;1;3;Johnson, Miss. Eleanor Ileen;feminino;1;1;1;111.333
174;0;3;Sivola, Mr. Antti Wilhelm;masculino;21;0;0;7.925
175;0;1;Smith, Mr. James Clinch;masculino;56;0;0;306.958
176;0;3;Klasen, Mr. Klas Albin;masculino;18;1;1;78.542
178;0;1;Isham, Miss. Ann Elizabeth;feminino;50;0;0;287.125
179;0;2;Hale, Mr. Reginald;masculino;30;0;0;13
180;0;3;Leonard, Mr. Lionel;masculino;36;0;0;0
183;0;3;Asplund, Master. Clarence Gustaf Hugo;masculino;9;4;2;313.875
184;1;2;Becker, Master. Richard F;masculino;1;2;1;39
185;1;3;Kink-Heilmann, Miss. Luise Gretchen;feminino;4;0;2;22.025
188;1;1;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";masculino;45;0;0;26,55
189;0;3;Bourke, Mr. John;masculino;40;1;1;15,5
190;0;3;Turcin, Mr. Stjepan;masculino;36;0;0;78.958
191;1;2;Pinsky, Mrs. (Rosa);feminino;32;0;0;13
192;0;2;Carbines, Mr. William;masculino;19;0;0;13
193;1;3;Andersen-Jensen, Miss. Carla Christine Nielsine;feminino;19;1;0;78.542
194;1;2;Navratil, Master. Michel M;masculino;3;1;1;26
195;1;1;Brown, Mrs. James Joseph (Margaret Tobin);feminino;44;0;0;277.208
196;1;1;Lurette, Miss. Elise;feminino;58;0;0;1.465.208
198;0;3;Olsen, Mr. Karl Siegwart Andreas;masculino;42;0;1;84.042
200;0;2;"Yrois, Miss. Henriette (""Mrs Harbeck"")";feminino;24;0;0;13
201;0;3;Vande Walle, Mr. Nestor Cyriel;masculino;28;0;0;9,5
