Mês;Comercio;Alimento;Metalurgia
jan/03;322;53,5;44,2
fev/03;317;53;44,3
mar/03;319;53,2;44,4
abr/03;323;52,5;43,4
mai/03;327;53,4;42,8
jun/03;328;56,5;44,3
jul/03;325;65,3;44,4
ago/03;326;70,7;44,8
set/03;330;66,9;44,4
out/03;334;58,2;43,1
nov/03;337;55,3;42,6
dez/03;341;53,4;42,4
jan/04;322;52,1;42,2
fev/04;318;51,5;41,8
mar/04;320;51,5;40,1
abr/04;326;52,4;42
mai/04;332;53,3;42,4
jun/04;334;55,5;43,1
jul/04;335;64,2;42,4
ago/04;336;69,6;43,1
set/04;335;69,3;43,2
out/04;338;58,5;42,8
nov/04;342;55,3;43
dez/04;348;53,6;42,8
jan/05;330;52,3;42,5
fev/05;326;51,5;42,6
mar/05;329;51,7;42,3
abr/05;337;51,5;42,9
mai/05;345;52,2;43,6
jun/05;350;57,1;44,7
jul/05;351;63,6;44,5
ago/05;354;68,8;45
set/05;355;68,9;44,8
out/05;357;60,1;44,9
nov/05;362;55,6;45,2
dez/05;368;53,9;45,2
jan/06;348;53,3;45
fev/06;345;53,1;45,5
mar/06;349;53,5;46,2
abr/06;355;53,5;46,8
mai/06;362;53,9;47,5
jun/06;367;57,1;48,3
jul/06;366;64,7;48,3
ago/06;370;69,4;49,1
set/06;371;70,3;48,9
out/06;375;62,6;49,4
nov/06;380;57,9;50
dez/06;385;55,8;50
jan/07;361;54,8;49,6
fev/07;354;54,2;49,9
mar/07;357;54,6;49,6
abr/07;367;54,3;50,7
mai/07;376;54,8;50,7
jun/07;381;58,1;50,9
jul/07;381;68,1;50,5
ago/07;383;73,3;51,2
set/07;384;75,5;50,7
out/07;387;66,4;50,3
nov/07;392;60,5;49,2
dez/07;396;57,7;48,1
