BAIRROS,CODIGOS,LATITUDE,LONGITUDE
ALCIDES RABELO,21,-16.7063186,-43.8446306
ALICE MAIA,141,-16.7022149,-43.8535891
ALPHAVILLE,215,null,null
ALTEROSA,65,-16.7319332,-43.8927018
ALTO BOA VISTA,239,-16.751136,-43.8396059
AMAZONAS,159,-16.6976915,-43.8619488
AMERICO SOUTO,191,-16.7047833,-43.8506021
ANTONIO PIMENTA,209,-16.7484747,-43.8535891
AREA RURAL DE MONTES CLAROS,49,-16.7152843,-43.85900849999999
AUGUSTA MOTA,89,-16.7209511,-43.8045961
BARCELONA PARK,223,-16.7112186,-43.8742274
BELA PAISAGEM,3,-16.7145002,-43.8903378
BELA VISTA,213,-16.7027811,-43.8765749
BELVEDERE,11,-16.7296843,-43.8340006
BRASILIA,242,-16.7286406,-43.8582139
CAMILO PRATES,232,-16.7389646,-43.8259011
CAMPUS ELIZIUS,70,-16.685816,-43.827821
CANDIDA CAMARA,93,-16.7351008,-43.8756795
CARMELO,174,-16.7239905,-43.8302937
CENTRO,130,-16.7262766,-43.86971010000001
CHACARA CERES,237,null,null
CHACARA DAS PAINEIRAS,99,-16.6650603,-43.8164493
CHACARA DOS MANGUES,17,-16.7651755,-43.8765625
CHACARA RECANTO DOS ARACAS,195,-16.7653723,-43.8792608
CHACARA SANTA TEREZINHA,4,-16.6428897,-43.7583737
CHACARAS PARAISO,76,-16.7749044,-43.8447775
CHACARAS QUINTA DA BOA VISTA,37,-16.7412669,-43.8585704
CHIQUINHO GUIMARAES,184,-16.7598043,-43.8762764
CIDADE CRISTO REI,220,-16.716714,-43.8522076
CIDADE INDUSTRIAL,122,-16.6680889,-43.852547
CIDADE NOVA,123,-16.7403658,-43.8667252
CIDADE SANTA MARIA,147,-16.7311087,-43.8732919
CINTRA,224,-16.7328111,-43.8494087
CIRO DOS ANJOS,29,-16.7548696,-43.8709041
CLARINDO LOPES,236,-16.7370798,-43.8530472
COLORADO,201,-16.7387594,-43.8272748
COMERCIAL,144,-16.7219609,-43.8650728
COND. MONTES CLAROS I,138,-16.7784864,-43.8889755
CONDOMINIO DAS PAINEIRAS,133,-16.6901982,-43.8373569
CONDOMINIO ESTANCIA REAL,2,-16.7730514,-43.8486564
CONDOMINIO PAI JOAO,116,-16.7296325,-43.8673408
CONDOMINIO PORTAL DA SERRA,120,-16.7259231,-43.892682
CONDOMINIO VALE DOS JARDINS,28,-16.728575,-43.83160789999999
CONDOMINIO VILA VERDE,179,-16.7263593,-43.8948116
CONDOMINIO VILLA JARDINS,198,-16.7195117,-43.8950801
CONDOMINIO PORTAL DAS ACACIAS,238,-16.7351936,-43.8903111
CONDOMINIO PORTAL DAS ARUEIRAS,207,-16.7312148,-43.8863468
CONDOMINIO SERRA DO MEL,60,-16.7244659,-43.8936639
COND VILA SAO VICENTE DE PAULA,100,-16.7073007,-43.8600618
CONJUNTO BANDEIRANTES,227,-16.7058757,-43.8665642
CONJUNTO CLARICE ATAIDE VIEIRA,110,null,null
CONJUNTO CRISTO REI,172,-16.7586716,-43.8565749
CONJUNTO FLORESTA,131,-16.7297079,-43.8549279
CONJUNTO HAWAI,32,-16.7489383,-43.8383707
CONJUNTO JOAQUIM COSTA,13,-16.7509836,-43.8691438
CONJUNTO JOSE CARLOS V DE LIMA,170,-16.755169,-43.848822
CONJUNTO JOSE CORREA MACHADO,219,-16.7243209,-43.8794377
CONJUNTO MINAS GERAIS,126,-16.675871,-43.83801800000001
CONJUNTO NOVO HORIZONTE,192,null,null
CONJUNTO OLGA BENARIO,25,-16.7718681,-43.8563319
ACACIAS,44,-16.7234654,-43.8185343
DELFINO MAGALHAES,63,-16.7397616,-43.8362679
LOURDES,30,-16.7259754,-43.8512003
DISTRITO INDUSTRIAL,124,-16.6866991,-43.864555
DONA GREGORIA,185,-16.7569328,-43.859859
DOS CANELAS,78,-16.7505521,-43.8716363
DOUTOR ANTONIO PIMENTA,83,-16.7440675,-43.854838
DOUTOR JOAO ALVES,64,-16.726454,-43.8646881
DUQUE DE CAXIAS,160,-16.7338286,-43.8579206
EDGAR PEREIRA,39,-16.7006324,-43.8661281
ESPLANADA,112,-16.7119998,-43.8362679
FRANCISCO PERES,228,-16.732268,-43.8634168
FUNCIONARIOS,217,-16.7422485,-43.875978
GOLDEN VILLAGE,205,-16.733438,-43.8783642
GRAN ROYALLE PIRÂMIDE,54,-16.7784864,-43.8889755
GUARUJA,229,-16.7082165,-43.8308912
GUILHERMINA,38,-16.737,-43.86851619999999
IBITURUNA,58,-16.733821,-43.8935833
INDEPENDENCIA,34,-16.7170551,-43.8171478
INTERLAGOS,27,-16.7170498,-43.8302937
IPIRANGA,169,-16.7148957,-43.8106319
JARAGUA,240,-16.6846525,-43.8204462
JARAGUA II,127,-16.6851862,-43.8212652
JARDIM ALEGRE,88,-16.7216467,-43.8179182
JARDIM ALVORADA,165,-16.7420643,-43.8494087
JARDIM AMERICA,119,-16.7198816,-43.8643895
JARDIM BRASIL,104,-16.6974784,-43.8682177
JARDIM ELDORADO,81,-16.6874441,-43.8772883
JARDIM EUROPA,108,-16.8344819,-43.8466213
JARDIM LIBERDADE,40,-16.7541687,-43.8932215
JARDIM MORADA DO SOL,22,-16.7193836,-43.879147
JARDIM NIEMEYER,24,-16.7295014,-43.87601249999999
JARDIM OLIMPICO,178,-16.7465545,-43.829603
JARDIM PALMEIRAS,15,-16.7363899,-43.8446306
JARDIM PANORAMA,26,-16.7123926,-43.8828418
JARDIM PLANALTO,140,-16.7004281,-43.836962
JARDIM PRIMAVERA,183,-16.6951805,-43.8123666
JARDIM SAO GERALDO,214,-16.7534993,-43.8738888
JARDIM SAO LUIZ,241,-16.7292101,-43.88045450000001
JARDIM SAO MATEUS,114,-16.7355158,-43.8415578
JK,118,-16.6947545,-43.8446306
JOAO BOTELHO,149,-16.7387956,-43.8595605
JOAO GORDO,134,-16.7137623,-43.86358509999999
LINHA FERREA,121,-16.73439,-43.8627236
MAJOR PRATES,53,-16.7500223,-43.88045450000001
MARACANA,145,-16.7613971,-43.86374
MELO,180,-16.7235387,-43.8756795
MIRANTE DO SOL,161,-16.7714465,-43.8724317
MONTE ALEGRE,73,-16.7288172,-43.8470197
MONTE BELO,102,-16.7145599,-43.8599238
MONTE CARMELO,226,-16.7220937,-43.8374627
MONTE SIAO,42,-16.883333,-43.9
MORADA DA SERRA,171,-16.7597867,-43.8894064
MORADA DO PARQUE,113,-16.7556928,-43.885229
MORADAS MONTES CLAROS I,181,-16.7249875,-43.814248
MORRINHOS,142,-16.7358496,-43.8619488
NÃO INFORMADO,117,null,null
NOSSA SENHORA APARECIDA,101,-16.7041947,-43.86909439999999
NOSSA SENHORA DAS GRACAS,199,-16.7611683,-43.8621336
NOSSA SENHORA DE FATIMA,197,-16.7378577,-43.8500059
NOVA AMERICA,212,-16.672626,-43.8222273
NOVA MORADA,67,-16.7162353,-43.8336027
NOVA SUIÇA,95,-16.7208576,-43.8195645
NOVO DELFINO,235,-16.7420207,-43.8300206
NOVO INCONFIDENTES,182,-16.7229324,-43.8644329
NOVO JARAGUA,52,-16.6788287,-43.8228939
PAMPULHA TENNIS RESIDENCE,208,-16.6948329,-43.8289345
PANORAMA II,75,-16.7157293,-43.88740749999999
PARQUE DAS PALMEIRAS,111,-16.7433911,-43.8446411
PARQUE JARDIM MORADA DO SOL,84,-16.7193836,-43.879147
PARQUE PAMPULHA,106,-16.706383,-43.836173
PLANALTO,175,-16.6966487,-43.8374627
PORTAL DAS AROEIRAS,74,-16.7312148,-43.8863468
PORTAL DO IBITURUNA,196,-16.7351936,-43.8903111
PORTAL DOS BURITIS,16,-16.7366199,-43.8882143
PORTAL DOS HIBISCOS,62,null,null
PORTAL DOS IPES,167,-16.731482,-43.846713
QUINTAS,98,-16.7274294,-43.8700488
QUINTAS DA PRODUÇÃO,193,-16.675567,-43.814855
QUINTAS DA SERRA,55,null,null
RAUL LOURENÇO,56,-16.6989597,-43.8440334
RECANTO DAS AGUAS,234,-16.6688886,-43.8282566
REDIDENCIAL DOS PARQUES,59,-16.7043242,-43.8576489
REGINA PERES,136,-16.727873,-43.8440334
RENASCENCA,168,-16.6951728,-43.8517975
RESERVA REAL,218,-16.7677727,-43.8873231
RESIDENCIAL DARCY RIBEIRO,92,-16.7189041,-43.8540395
RESIDENCIAL GRAN. ROYALLE PIRAMIDE,46,-16.7784864,-43.8889755
RESIDENCIAL MINAS GERAIS,72,-16.719855,-43.84475
RESIDENCIAL MONTES CLAROS,125,-16.7881894,-43.8863468
RESIDENCIAL PARQUE SUL,9,-16.7678096,-43.87051109999999
RESIDENCIAL PARQUE VERDE,216,-16.7723085,-43.8665774
RESIDENCIAL RIO DO CEDRO,194,null,null
RESIDENCIAL SERRANO,150,-16.763941,-43.8879145
RESIDENCIAL SUL IPES,45,-16.7733675,-43.8673226
RESIDENCIAL SUL JACARANDAS,90,-16.7443474,-43.8657828
RESIDENCIAL VILA EUROPA,43,-16.7470859,-43.8484287
RESIDENCIAL VITORIA,129,-16.7881894,-43.8863468
ROXO VERDE,137,-16.726287,-43.8565749
SAGRADA FAMILIA,157,-16.7403592,-43.8732919
SANTA CECILIA,190,-16.6985372,-43.8500059
SANTA EUGENIA,222,-16.6892623,-43.8739776
SANTA LAURA,57,-16.7129817,-43.8360868
SANTA LUCIA,80,-16.730715,-43.83985209999999
SANTA LUCIA II,148,-16.72589,-43.8406499
SANTA LUZIA,210,-16.730715,-43.83985209999999
SANTA MARIA,51,-16.7174428,-43.87442129999999
SANTA MONICA,200,-16.7188476,-43.8698571
SANTANA,68,-16.7187327,-43.8657303
SANTA RAFAELA,103,-16.7672449,-43.8460186
SANTA RITA I,225,-16.7309129,-43.8565749
SANTA RITA II,211,-16.7389051,-43.8547834
SANTA TEREZINHA,94,-16.7369332,-43.8487742
SANTO AMARO,31,-16.7743537,-43.8479963
SANTO ANTONIO,71,-16.7477504,-43.8410468
SANTO ANTONIO II,135,-16.7594664,-43.85797030000001
SANTO EXPEDITO,85,-16.7496276,-43.8777889
SANTO INACIO,79,-16.7576253,-43.8517975
SANTOS DUMONT,221,-16.7256887,-43.8596325
SANTOS REIS,82,-16.7033611,-43.8732919
SAO BENTO,187,-16.7259808,-43.8183562
SAO GERALDO,152,-16.7534993,-43.8738888
SAO GERALDO II,206,-16.7894368,-43.8867629
SAO JOAO,96,-16.715355,-43.85418629999999
SAO JOSE,186,-16.7210288,-43.8589634
