id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
874,2018-04-02,Centro ,3,0,1,2,0,450000
875,2018-04-02,Panorama II ,2,0,0,1,0,177000
876,2018-04-02,Funcionários ,2,0,0,1,0,230000
877,2018-04-02,Centro ,2,0,1,1,0,200000
878,2018-04-02,Morada do Sol ,3,0,1,2,0,280000
882,2018-04-02,Morada do Sol ,2,0,2,1,0,290000
885,2018-04-02,Vila Guilhermina ,2,0,1,0,0,310000
887,2018-04-02,Centro ,3,0,1,2,0,340000
888,2018-04-02,Todos os Santos ,4,0,2,2,0,1100000
890,2018-04-02,Ibituruna ,2,0,1,2,0,250000
891,2018-04-02,Cândida Câmara ,3,0,1,1,0,400000
892,2018-04-02,Morada do Sol ,3,0,1,2,0,470000
898,2018-04-02,Centro ,2,0,1,1,0,280000
899,2018-04-02,Jardim Panorama ,3,0,1,2,0,420000
900,2018-04-02,Morada do Sol ,2,0,1,0,0,230000
916,2018-04-02,Cidade Santa Maria ,3,0,1,2,0,420000
917,2018-04-02,Ibituruna ,3,0,0,1,0,180000
918,2018-04-02,Todos os Santos ,3,0,1,0,0,378000
928,2018-04-02,Jardim São Luiz ,3,0,1,2,0,0
929,2018-04-02,Panorama II ,2,0,0,1,0,195000
942,2018-04-02,Jardim Panorama ,2,0,1,1,0,190000
945,2018-04-02,Ibituruna ,3,0,1,2,0,430000
946,2018-04-02,Ibituruna ,3,0,1,1,0,300000
947,2018-04-02,Melo ,3,0,1,2,0,650000
948,2018-04-02,Funcionários ,4,0,2,2,0,850000
957,2018-04-02,Ibituruna ,3,0,1,2,0,410000
958,2018-04-02,Ibituruna ,3,0,1,1,0,300000
960,2018-04-02,Centro ,3,0,1,1,0,295000
975,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
994,2018-04-02,Todos os Santos ,4,0,1,2,0,700000
996,2018-04-02,Prolongamento Todos os Santos ,3,0,1,2,0,215000
999,2018-04-02,Funcionários ,3,0,1,2,0,330000
1000,2018-04-02,Edgar Pereira ,2,0,0,1,0,149000
1001,2018-04-02,Centro ,3,0,1,1,0,280000
1009,2018-04-02,Ibituruna ,3,0,1,0,0,550000
1020,2018-04-02,Morada do Sol ,3,0,1,2,0,595000
1021,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
1022,2018-04-02,Morada da Serra ,3,0,1,1,0,180000
1023,2018-04-02,Ibituruna ,3,0,1,2,0,320000
1024,2018-04-02,Ibituruna ,3,0,1,2,0,355000
1026,2018-04-02,Ibituruna ,3,0,1,2,0,360000
1030,2018-04-02,Canelas I ,2,0,1,1,0,170000
1031,2018-04-02,Canelas I ,2,0,1,1,0,170000
1032,2018-04-02,Canelas I ,2,0,1,1,0,170000
1033,2018-04-02,Canelas I ,2,0,1,1,0,170000
1034,2018-04-02,Canelas I ,2,0,1,1,0,170000
1035,2018-04-02,Canelas I ,2,0,1,1,0,170000
1036,2018-04-02,Canelas I ,2,0,1,1,0,170000
1037,2018-04-02,Canelas I ,2,0,1,1,0,170000
1038,2018-04-02,Canelas I ,2,0,1,1,0,170000
1039,2018-04-02,Canelas I ,2,0,1,1,0,170000
1040,2018-04-02,Canelas I ,2,0,1,1,0,170000
1041,2018-04-02,Canelas I ,2,0,1,1,0,170000
1045,2018-04-02,Cândida Câmara ,4,0,1,2,0,950000
1048,2018-04-02,Funcionários ,2,0,0,1,0,250000
1049,2018-04-02,Cidade Nova ,3,0,1,1,0,330000
1058,2018-04-02,Morada do Sol ,3,0,1,1,0,295000
1059,2018-04-02,Cândida Câmara ,4,0,2,5,0,600000
1064,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
1065,2018-04-02,Planalto ,2,0,0,1,0,160000
1067,2018-04-02,Belvedere ,2,0,0,1,0,115000
1069,2018-04-02,Planalto ,2,0,0,1,0,144000
1074,2018-04-02,Melo ,3,0,0,1,0,650000
1076,2018-04-02,Centro ,3,0,1,1,0,450000
1077,2018-04-02,Morada da Serra ,3,0,1,1,0,160000
1082,2018-04-02,Centro ,3,0,1,2,0,350000
1083,2018-04-02,Augusta Mota ,3,0,1,2,0,220000
1085,2018-04-02,Ibituruna ,3,0,1,0,0,300000
1086,2018-04-02,Planalto ,2,0,0,1,0,160000
1087,2018-04-02,Planalto ,2,0,0,1,0,160000
1088,2018-04-02,Centro ,1,0,0,0,0,125000
1089,2018-04-02,Alice Maia ,3,0,0,1,0,120000
1091,2018-04-02,Jardim Panorama ,2,0,1,1,0,210000
1098,2018-04-02,Morada do Sol ,3,0,2,2,0,630000
1105,2018-04-02,Morada da Serra ,3,0,1,0,0,190000
1107,2018-04-02,Ibituruna ,3,0,1,1,0,320000
1108,2018-04-02,Canelas I ,3,0,1,2,0,270000
1111,2018-04-02,São Mateus ,3,0,1,3,0,295000
1112,2018-04-02,São Mateus ,3,0,1,4,0,340000
1113,2018-04-02,Todos os Santos ,2,0,1,1,0,250000
1116,2018-04-02,Ibituruna ,3,0,1,0,0,470000
1120,2018-04-02,Cidade Santa Maria ,3,0,1,2,0,400000
1121,2018-04-02,Cândida Câmara ,4,0,1,2,0,880000
1125,2018-04-02,São José ,2,0,0,1,0,240000
1126,2018-04-02,Cândida Câmara ,3,0,1,1,0,190000
1128,2018-04-02,Jardim São Luiz ,4,0,2,3,0,777862.91
1130,2018-04-02,Vila Guilhermina ,2,0,1,1,0,178000
1138,2018-04-02,Morada do Sol ,2,0,0,0,0,240000
1139,2018-04-02,Morada do Sol ,3,0,1,2,0,295000
1140,2018-04-02,São José ,3,0,1,1,0,350000
1141,2018-04-02,Centro ,2,0,0,0,0,155000
1142,2018-04-02,Centro ,2,0,0,0,0,150000
1144,2018-04-02,Planalto ,2,0,0,1,0,130000
1146,2018-04-02,São Mateus ,3,0,1,3,0,295000
1147,2018-04-02,São Mateus ,3,0,1,6,0,340000
1151,2018-04-02,Edgar Pereira ,3,0,1,1,0,210000
1155,2018-04-02,Melo ,3,0,1,1,0,210000
1156,2018-04-02,Melo ,3,0,1,1,0,300000
1158,2018-04-02,Morada da Serra ,3,0,1,1,0,190000
1159,2018-04-02,Ibituruna ,3,0,1,1,0,330000
1160,2018-04-02,Ibituruna ,2,0,1,1,0,224000
1161,2018-04-02,Melo ,3,0,1,2,0,620000
1162,2018-04-02,Belvedere ,2,0,0,1,0,110000
1163,2018-04-02,São Mateus ,3,0,1,1,0,250000
1164,2018-04-02,Vila Ipiranga ,3,0,0,0,0,175000
1166,2018-04-02,Belvedere ,2,0,0,1,0,110000
1167,2018-04-02,Todos os Santos ,3,0,1,2,0,459372.26
1170,2018-04-02,Ibituruna ,2,0,1,1,0,214000
1171,2018-04-02,Canelas I ,3,0,1,1,0,200000
1172,2018-04-02,Planalto ,2,0,0,0,0,130000
1173,2018-04-02,Cidade Santa Maria ,2,0,1,1,0,345000
1174,2018-04-02,Belvedere ,2,0,0,1,0,115000
1175,2018-04-02,Centro ,3,0,1,0,0,450000
1178,2018-04-02,Morada do Sol ,3,0,1,2,0,320000
1182,2018-04-02,Belvedere ,2,0,0,1,0,120000
1183,2018-04-02,São José ,3,0,1,1,0,320000
1185,2018-04-02,Centro ,3,0,1,1,0,250000
