id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
1,2018-02-18,BELVEDERE,2,1,0,1,1,110000
2,2018-02-18,BELVEDERE,2,1,0,1,1,139000
3,2018-02-18,IBITURUNA,3,1,0,1,1,145000
4,2018-02-18,"TODOS OS SANTOS",2,1,0,1,60,150000
5,2018-02-18,"EDGAR PEREIRA",2,1,0,1,40.5,155000
6,2018-02-18,"MORADA DO SOL",2,1,0,1,85.95,175000
7,2018-02-18,"TODOS OS SANTOS",2,1,0,1,1,180000
8,2018-02-18,"VILA MAURICEIA",2,1,0,1,48,180000
9,2018-02-18,"TODOS OS SANTOS",2,2,0,1,1,180000
10,2018-02-18,PANORAMA,3,2,0,1,1,180000
11,2018-02-18,IBITURUNA,2,1,0,1,1,189000
12,2018-02-18,"VILA BRASILIA",2,2,0,1,1,190000
13,2018-02-18,"TODOS OS SANTOS II",2,1,0,1,1,210000
14,2018-02-18,"MORADA DO SOL",3,3,0,2,1,210000
15,2018-02-18,IBITURUNA,2,2,0,1,1,215000
16,2018-02-18,"SANTA RITA",3,0,0,1,1,220000
17,2018-02-18,"CIDADE NOVA",3,1,0,2,1,220000
18,2018-02-18,IBITURUNA,2,2,0,2,1,221000
19,2018-02-18,IBITURUNA,3,2,0,1,1,230000
20,2018-02-18,"JARDIM PANORAMA",2,0,0,0,110,245000
21,2018-02-18,IBITURUNA,2,2,0,1,75.46,70000
22,2018-02-18,"EDGAR PEREIRA",3,3,0,1,1,245000
23,2018-02-18,"TODOS OS SANTOS",2,2,0,1,60,250000
24,2018-02-18,IBITURUNA,2,2,0,2,93,250000
25,2018-02-18,FUNCIONARIOS,2,1,0,1,75,253000
26,2018-02-18,"JARDIM SÃO MATEUS",3,2,0,2,1,260000
27,2018-02-18,"VILA BRASILIA",3,2,0,2,1,260000
28,2018-02-18,"MORADA DO SOL",3,1,0,2,1,270000
29,2018-02-18,IBITURUNA,3,2,0,2,1,270000
30,2018-02-18,"JARDIM SÃO MATEUS",3,2,0,3,1,280000
31,2018-02-18,"TODOS OS SANTOS",2,1,0,1,1,280000
32,2018-02-18,"MORADA DO SOL",3,1,0,2,1,290000
33,2018-02-18,"VILA BRASILIA",3,2,0,2,1,295000
34,2018-02-18,CENTRO,3,1,0,1,100,298000
35,2018-02-18,IBITURUNA,2,2,0,1,88.44,300000
36,2018-02-18,IBITURUNA,3,1,0,2,1,300000
37,2018-02-18,IBITURUNA,3,1,0,2,1,300000
38,2018-02-18,IBITURUNA,3,2,0,2,111,300000
39,2018-02-18,"SANTA RITA",3,0,0,1,1,303000
40,2018-02-18,"JARDIM SÃO MATEUS",3,2,0,4,1,310000
41,2018-02-18,"CANDIDA CAMARA",4,1,0,2,1,310000
42,2018-02-18,"JARDIM SAO LUIZ",3,2,0,1,88,315000
43,2018-02-18,IBITURUNA,3,2,0,2,1,330000
44,2018-02-18,"CÂNDIDA CÂMARA",2,2,0,1,1,330000
45,2018-02-18,"TODOS OS SANTOS",3,2,0,1,1,350000
46,2018-02-18,"VILA BRASILIA",3,3,0,2,0.01,350000
47,2018-02-18,IBITURUNA,3,0,0,2,180,350000
48,2018-02-18,IBITURUNA,3,2,0,1,1,358000
49,2018-02-18,"VILA BRASILIA",4,3,0,2,1,130000
50,2018-02-18,MARACANA,2,2,0,1,250,370000
