id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
1324,2018-04-02,Morada da Serra ,5,0,1,2,0,400000
1128,2018-04-02,Jardim São Luiz ,4,0,2,3,0,777862.91
1228,2018-04-02,Morada do Sol ,4,0,3,4,0,1350000
1257,2018-04-02,Funcionários ,4,0,3,3,0,1300000
888,2018-04-02,Todos os Santos ,4,0,2,2,0,1100000
1045,2018-04-02,Cândida Câmara ,4,0,1,2,0,950000
1121,2018-04-02,Cândida Câmara ,4,0,1,2,0,880000
948,2018-04-02,Funcionários ,4,0,2,2,0,850000
994,2018-04-02,Todos os Santos ,4,0,1,2,0,700000
1059,2018-04-02,Cândida Câmara ,4,0,2,5,0,600000
1132,2018-04-02,Morada do Sol ,4,0,2,3,0,2500
1218,2018-04-02,Cândida Câmara ,4,0,2,1,0,2400
1011,2018-04-02,Centro ,4,0,1,1,0,1550
1167,2018-04-02,Todos os Santos ,3,0,1,2,0,459372.26
1295,2018-04-02,Todos os Santos ,3,0,1,2,0,449347.61
1187,2018-04-02,Cândida Câmara ,3,0,1,3,0,1000000
947,2018-04-02,Melo ,3,0,1,2,0,650000
1074,2018-04-02,Melo ,3,0,0,1,0,650000
1336,2018-04-02,Morada do Sol ,3,0,1,2,0,650000
1098,2018-04-02,Morada do Sol ,3,0,2,2,0,630000
1161,2018-04-02,Melo ,3,0,1,2,0,620000
1020,2018-04-02,Morada do Sol ,3,0,1,2,0,595000
1009,2018-04-02,Ibituruna ,3,0,1,0,0,550000
1217,2018-04-02,Melo ,3,0,1,2,0,550000
1333,2018-04-02,Cidade Santa Maria ,3,0,1,2,0,550000
892,2018-04-02,Morada do Sol ,3,0,1,2,0,470000
1116,2018-04-02,Ibituruna ,3,0,1,0,0,470000
874,2018-04-02,Centro ,3,0,1,2,0,450000
1076,2018-04-02,Centro ,3,0,1,1,0,450000
1175,2018-04-02,Centro ,3,0,1,0,0,450000
1318,2018-04-02,Centro ,3,0,1,1,0,450000
1322,2018-04-02,Centro ,3,0,1,0,0,450000
1342,2018-04-02,Melo ,3,0,1,0,0,440000
945,2018-04-02,Ibituruna ,3,0,1,2,0,430000
1269,2018-04-02,Ibituruna ,3,0,1,2,0,430000
1272,2018-04-02,Ibituruna ,3,0,1,2,0,430000
899,2018-04-02,Jardim Panorama ,3,0,1,2,0,420000
916,2018-04-02,Cidade Santa Maria ,3,0,1,2,0,420000
957,2018-04-02,Ibituruna ,3,0,1,2,0,410000
1242,2018-04-02,Centro ,3,0,1,1,0,410000
891,2018-04-02,Cândida Câmara ,3,0,1,1,0,400000
1120,2018-04-02,Cidade Santa Maria ,3,0,1,2,0,400000
1222,2018-04-02,Morada do Sol ,3,0,1,0,0,400000
1250,2018-04-02,Ibituruna ,3,0,2,2,0,400000
918,2018-04-02,Todos os Santos ,3,0,1,0,0,378000
1219,2018-04-02,Ibituruna ,3,0,1,2,0,370000
1243,2018-04-02,Vila Brasília ,3,0,2,2,0,370000
1026,2018-04-02,Ibituruna ,3,0,1,2,0,360000
1246,2018-04-02,Cidade Santa Maria ,3,0,1,2,0,360000
1024,2018-04-02,Ibituruna ,3,0,1,2,0,355000
975,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
1021,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
1064,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
1082,2018-04-02,Centro ,3,0,1,2,0,350000
1140,2018-04-02,São José ,3,0,1,1,0,350000
1189,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
1251,2018-04-02,Vila Brasília ,3,0,1,2,0,350000
1263,2018-04-02,Morada do Sol ,3,0,1,2,0,350000
887,2018-04-02,Centro ,3,0,1,2,0,340000
1112,2018-04-02,São Mateus ,3,0,1,4,0,340000
1147,2018-04-02,São Mateus ,3,0,1,6,0,340000
