id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
115,2018-04-18,Augusta Mota,3,1,0,2,85,300000
116,2018-04-18,Acácias,1,1,0,1,0,100000
117,2018-04-18,Vila Cidade Santa Maria,3,2,0,2,120,480000
118,2018-04-18,Augusta Mota,3,1,0,2,0,700000
119,2018-04-18,Augusta Mota,3,1,0,2,0,550000
120,2018-04-18,Augusta Mota,3,1,0,2,0,570000
121,2018-04-18,Todos Os Santos,3,1,0,2,0,600000
122,2018-04-18,Jardim Panorama,2,2,0,1,65,215000
123,2018-04-18,São José,4,3,0,1,0,285000
124,2018-04-18,Centro,4,5,0,2,0,750000
125,2018-04-18,Centro,3,1,0,1,0,300000
126,2018-04-18,Centro,4,3,0,2,0,600000
127,2018-04-18,Planalto,2,1,0,1,0,140000
128,2018-04-18,Cândida Câmara,0,0,0,0,0,0
129,2018-04-18,Morada Do Sol,3,1,0,1,0,220000
130,2018-04-18,Centro,3,2,0,2,0,650000
131,2018-04-18,Belvedere,2,1,0,1,43,130000
132,2018-04-18,Melo,3,1,0,1,0,330000
133,2018-04-18,Vila Cidade Santa Maria,3,1,0,2,122,550000
134,2018-04-18,Melo,3,2,0,2,0,0
135,2018-04-18,Centro,3,1,0,1,0,230000
136,2018-04-18,Ibituruna,3,2,0,2,0,420000
137,2018-04-18,Centro,3,1,0,1,0,450000
138,2018-04-18,Ibituruna,2,2,0,2,115,390000
139,2018-04-18,Melo,3,1,0,2,0,640000
140,2018-04-18,Ibituruna,2,1,0,2,60,270000
141,2018-04-18,Ibituruna,3,1,0,2,83,300000
