bairro,quantidade,cor
Ibituruna,139,red
Centro,71,red
Morada Do Sol,65,red
Candida Camara,34,red
Todos Os Santos,30,red
Augusta Mota,29,blue
Jardim Liberdade,25,blue
Melo,25,blue
Sao Jose,22,blue
Cidade Santa Maria,20,blue
Jardim Panorama,20,blue
Canelas I,17,green
Belvedere,17,green
Edgar Pereira,15,green
Planalto,15,green
Vila Brasilia,14,green
Sao Mateus,13,green
Jardim Sao Luiz,9,black
Morada Do Parque,9,black
Funcionarios,8,black
Maracana,8,black
Cidade Nova,8,black
Morada Da Serra,7,black
Vila Guilhermina,6,black
Sao Judas Tadeu,5,black
Alice Maia,5,black
Santa Laura,5,black
Canelas,5,black
Jardim Palmeiras,3,black
Panorama II,3,black
Prolongamento Todos Os Santos,2,black
Monte Alegre,2,black
Santa Rita,2,black
Lourdes,2,black
Vila Ipiranga,1,black
Panorama,1,black
Vila Mauriceia,1,black
Morrinhos,1,black
Cintra,1,black
Alto Sao Joao,1,black
Jaragua I,1,black
Canelas II,1,black
Conjunto Residencial Jk,1,black
Major Prates,1,black
